pred_horizon,mesh_size,theta_0,alpha_0,theta_dot_0,alpha_dot_0,iteration,theta,alpha,theta_dot,alpha_dot,cost,time
15.0,3.0,0.0,3.141592653589793,0.0,0.0,1.0,-2.336,3.575,-4.714,-4.444,3045.791,0.6249365960000048
15.0,3.0,0.0,3.141592653589793,0.0,0.0,2.0,-2.336,3.575,-4.714,-4.444,3045.791,1.2432922180000006
15.0,3.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.336,3.575,-4.714,-4.444,3045.791,1.8519330380000056
15.0,3.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.336,3.575,-4.714,-4.444,3045.791,2.4593905320000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.336,3.575,-4.714,-4.444,3045.791,3.0694526110000027
15.0,3.0,0.0,3.141592653589793,0.0,0.0,6.0,-2.336,3.575,-4.714,-4.444,3045.791,3.676066336000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.336,3.575,-4.714,-4.444,3045.791,4.288575888000004
15.0,3.0,0.0,3.141592653589793,0.0,0.0,8.0,-1.935,3.391,-4.293,-3.527,3043.929,4.933321451000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.283,3.638,-6.594,-2.279,3036.802,5.562054405000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.254,3.594,-5.752,-3.022,3022.931,6.185866781000001
15.0,3.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.243,3.606,-5.758,-2.991,3022.725,6.809483744000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.347,3.652,-6.306,-2.701,3022.411,7.430052224000001
15.0,3.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.337,3.662,-6.309,-2.674,3022.179,8.036904785000004
15.0,3.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.356,3.661,-6.287,-2.729,3020.12,8.643469355
15.0,3.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.348,3.669,-6.289,-2.707,3019.937,9.250732341000003
15.0,3.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.355,3.661,-6.287,-2.727,3019.93,9.858825828
15.0,3.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.349,3.668,-6.289,-2.709,3019.797,10.467020941000001
15.0,3.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.349,3.668,-6.289,-2.709,3019.797,11.072547235000002
15.0,3.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.349,3.666,-6.295,-2.694,3018.582,11.686983161
15.0,3.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.349,3.666,-6.295,-2.694,3018.582,12.295499135
15.0,3.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.331,3.663,-6.06,-2.817,3018.524,12.900542328
15.0,3.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.329,3.656,-6.063,-2.83,3018.493,13.504817142
15.0,3.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.342,3.668,-6.252,-2.71,3018.437,14.109457750000004
15.0,3.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.336,3.665,-6.077,-2.804,3018.435,14.718135662000002
15.0,3.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.356,3.678,-6.218,-2.723,3018.34,15.327252347000005
15.0,3.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.341,3.666,-5.939,-2.887,3018.265,15.944467162000002
15.0,3.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.346,3.668,-6.067,-2.819,3018.253,16.552312463000007
15.0,3.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.344,3.67,-6.068,-2.813,3018.253,17.157664756000003
15.0,3.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.344,3.673,-6.068,-2.803,3018.228,17.762270082
15.0,3.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.35,3.678,-6.059,-2.812,3018.215,18.369142244000003
15.0,3.0,0.0,3.141592653589793,0.0,0.0,1.0,-2.336,3.575,-4.714,-4.444,3045.791,0.6088597540000009
15.0,3.0,0.0,3.141592653589793,0.0,0.0,2.0,-2.336,3.575,-4.714,-4.444,3045.791,1.2264346330000038
15.0,3.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.336,3.575,-4.714,-4.444,3045.791,1.8350452970000006
15.0,3.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.336,3.575,-4.714,-4.444,3045.791,2.4400209400000037
